Entry,verbatimCollectors,collectedBy,secondaryCollectors,recordNumber,verbatimEventDate,minimumEventDate,maximumEventDate,verbatimIdentification,latestScientificName,identifiedBy,verbatimDateIdentified,associatedTaxa,country,firstPoliticalUnit,secondPoliticalUnit,municipality,verbatimLocality,locality,habitat,verbatimElevation,verbatimCoordinates,otherCatalogNumbers,originalMethod,typeStatus
Entry 171,"Marko Lewis, no79-2115",Marko Lewis,,79-2115,25 May 1979,1979-05-25,,Brachythecium calliergonoides Broth. in Herz.,Brachythecium calliergonoides Broth.,R. Ochyra,1982,,Bolivia,Oruro,Sajama,,"Rio Junthuma Khuchu, 2 mi. down river from Aguas termales de Rio Junthuma Khuchu, 4350 m., 18° 07' S., 69° 00' W. In warmish creek","Rio Junthuma Khuchu, 2 miles down river from Aguas termales de Rio Junthuma Khuchu, 4350 meters, 18° 07' S., 69° 00' W. In warmish creek",In warmish creek,4350 m,"18° 07' S., 69° 00' W",C2078928F | 1049409,Typed,no type status
Entry 172,"Marko Lewis, no. 79-2117",Marko Lewis,,79-2117,25 May 1979,1979-05-25,,Brachythecium calliergonoides Broth. in Herz.,Brachythecium calliergonoides Broth.,R. Ochyra,1982,,Bolivia,Oruro,Sajama,,"DEPTO. ORURO, PROV. SAJAMA: Río Junthuma Khuchu, 2 mi. down river from Aguas termales de Río Junthuma Khuchu, 4350 m., 18° 07' S., 69° 00' W. In warmish creek","Río Junthuma Khuchu, 2 miles down river from Aguas termales de Río Junthuma Khuchu",In warmish creek,4350 m.,"18° 07' S., 69° 00' W.",N° 1049410|C2078929F,Typed,no type status
Entry 173,"Marko Lewis, no79-2118",M. Lewis,,79-2118,25 May 1979,1979-05-25,,Brachythecium calliergonoides Broth. in Herz.,Brachythecium calliergonoides Broth. in Herz.,R. Ochyra,February 1982,,Bolivia,Oruro,Sajama,,"DEPTO. ORURO, PROV. SAJAMA: Río Junthuma Khuchu, 2 mi. down river from Aguas termales de Río Junthuma Khuchu, 4350 m., 18° 07' S., 69° 00' W. In warmish creek","Río Junthuma Khuchu, 2 miles down river from Aguas termales de Río Junthuma Khuchu, In warmish creek",In warmish creek,4350 m.,"18° 07' S., 69° 00' W.",1049411|C2078930F,Mix of Handwritten and Typed,no type status
Entry 174,"Marko Lewis, no. 79-2107",Marko Lewis,,79-2107,25 May 1979,1979-05-25,,Brachythecium calliergonoides Broth. in Herz.,Brachythecium calliergonoides Broth. in Herz.,R. Ochyra,1982,,Bolivia,Oruro,Sajama,,"DEPTO. ORURO, PROV. SAJAMA: Río Junthuma Khuchu, 2 mi. down river from Aguas termales de Río Junthuma Khuchu, 4350 m., 18° 07' S., 69° 00' W. In warmish creek.","Río Junthuma Khuchu, 2 miles down river from Aguas termales de Río Junthuma Khuchu, In warmish creek.",In warmish creek,4350 m.,"18° 07' S., 69° 00' W.",N° 1049404|C2078931F|C2078933F,Typed,no type status
Entry 175,"Marko Lewis, no. 79-2119",Marko Lewis,,79-2119,25 May 1979,1979-05-25,,Brachythecium calliergonoides Broth. in Herz.,Brachythecium calliergonoides Broth. in Herz.,R. Ochyra,1982,,Bolivia,Oruro,Sajama,,"DEPTO. ORURO, PROV. SAJAMA: Rio Junthuma Khuchu, 2 mi. down river from Aguas termales de Rio Junthuma Khuchu, 4350 m., 18° 07' S, 69° 00' W. In warmish creek.","Rio Junthuma Khuchu, 2 miles down river from Aguas termales de Rio Junthuma Khuchu. In warmish creek.",In warmish creek,4350 m.,"18° 07' S, 69° 00' W",Nº 1049412|C2078932F,Typed,no type status
Entry 176,"Ynes Mexia, No. 6149",Ynes Mexia,,6149,"Nov. 23, 1931",1931-11-23,,Vesicularia amphibola (Spr.) Broth.,Vesicularia amphibola (Spr.) Broth.,Bartram,,,Peru,Loreto,,,Above Pongo de Manseriche. Left bank of Rio Santiago.,Above Pongo de Manseriche. Left bank of Rio Santiago.,On stone in overflow forest,Alt. 200 m,,873368|C2079350F,Typed,no type status
Entry 177,"Ynes Mexia, No. 6160-a",Y. Mexia,,6160-a,"Nov. 25, 1931",1931-11-25,,Vesicularia amphibola (Spr.) Broth.,Vesicularia amphibola (Spr.) Broth.,Bartram,,,Peru,Loreto,,,Above Pongo de Manseriche. Right bank of Rio Santiago.,Above Pongo de Manseriche. Right bank of Rio Santiago.,Dense forest on log,Alt. 200 m,,873367|C2079351F,Typed,no type status
Entry 178,"Ynes Mexia, No. 6217-a",Ynes Mexia,,6217-a,"Dec. 4, 1931",1931-12-04,,Vesicularia amphibola (Spr.) Broth.,Vesicularia amphibola (Spr.) Broth.,Bartram,,,Peru,Loreto,,,Above Pongo de Manseriche. Streamlet on right bank of Rio Santiago. On rocks wet by spray.,Above Pongo de Manseriche. Streamlet on right bank of Rio Santiago. On rocks wet by spray.,On rocks wet by spray,Alt. 250 m,,870879|C2079352F,Typed,no type status
Entry 179,"Ynes Mexia, No. 6259-a",Y. Mexia,,6259-a,"Dec. 12, 1931",1931-12-12,,Vesicularia amphibola (Spr.) Broth.,Vesicularia amphibola (Spr.) Broth.,Bartram,,,Peru,Loreto,,,Above Pongo de Manseriche. Creek Carapisa.,Above Pongo de Manseriche. Creek Carapisa.,Log in forest,Alt. 215 m,,870867|C2079353F,Typed,no type status
Entry 180,"Ynes Mexia, No. 6354-a",Ynes Mexia,,6354-a,"Jan. 3, 1932",1932-01-03,,Vesicularia amphibola (Spr.) Broth.,Vesicularia amphibola (Spr.) Broth.,Bartram,,,Peru,Loreto,,,Above Pongo de Manseriche. Creek Inche.,Above Pongo de Manseriche. Creek Inche.,On earth collected on inclined tree trunk. Creep. loose.,Alt. 215 m.,,873369|C2079354F,Mix of Handwritten and Typed,no type status
Entry 181,"Ynes Mexia, No. 6375a",Y. Mexia,,6375a,"Jan. 3, 1932",1932-01-03,,Vesicularia amphibola (Spr.) Broth.,Vesicularia amphibola (Spr.) Broth.,Bartram,,Taxithelium planum (Brid.) Mitt.,Peru,Loreto,,,Above Pongo de Manseriche. Creek Inche.,Above Pongo de Manseriche. Creek Inche.,On rotten log. Sterile.,Alt. 215 m.,,1039121|C2079355F,Typed,no type status
Entry 182,"Ynes Mexia, No. 6375-a",Ynes Mexia,,6375-a,"Jan. 3, 1932",1932-01-03,,Vesicularia amphibola (Sprv.) Broth.,Vesicularia amphibola (Sprv.) Broth.,Bartram,,Taxithelium planum (Brid.) Mitt.,Peru,Loreto,,,Above Pongo de Manseriche. Creek Inche.,Above Pongo de Manseriche. Creek Inche.,On rotten log. Sterile.,Alt. 215 m.,,870880|C2079356F,Mix of Handwritten and Typed,no type status
Entry 183,"Ynes Mexia, No. 6377",Y. Mexia,,6377,"Jan. 3, 1932",1932-01-03,,Vesicularia amphibola (Spr.) Broth.,Vesicularia amphibola (Spr.) Broth.,Bartram,,,Peru,Loreto,,,Above Pongo de Manseriche. Creek Inche.,Above Pongo de Manseriche. Creek Inche.,On rotten log,Alt. 215 m,,870873|C2079357F,Typed,no type status
Entry 184,"Ynes Mexia, No. 8070",Y. Mexia,,8070,"May 14,1936",1936-05-14,,Vesicularia amphibola (Spr.) Broth.,Vesicularia amphibola (Spr.) Broth.,Bartram,,In mixture,Peru,Cuzco,La Convencion,,Departamento Cuzco. Provincia La Convencion; upper valley of the Sambray; affluent of the Vilcanota; on rotten logs in virgin forest,upper valley of the Sambray; affluent of the Vilcanota; on rotten logs in virgin forest,on rotten logs in virgin forest,Alt. 1800 m,,1036318|C2079358F,Typed,no type status
Entry 185,"Ynes Mexia, No. 8070",Y. Mexia,,8070,"May 14,1936",1936-05-14,,Vesicularia amphibola (Spr.) Froth. in mixture,Vesicularia amphibola (Spr.) Froth.,Bartram,,,Peru,Cuzco,La Convencion,,Departamento Cuzco. Provincia La Convencion; upper valley of the Sambray; affluent of the Vilcanota; on rotten logs in virgin forest,upper valley of the Sambray; affluent of the Vilcanota; on rotten logs in virgin forest,on rotten logs in virgin forest,Alt. 1800 m,,1039122|C2079359F,Typed,no type status
Entry 186,P. R. Reitz,P. R. Reitz,,2.222,20.9.1949,1949-09-20,,Vesicularia vesicularis (Schwaegr.) Broth.,Vesicularia vesicularis (Schwaegr.) Broth.,Bartram,1949,,BRASIL,SANTA CATARINA,,Brusque,"Azambuja, Brusque","Azambuja, Brusque","Epífito, da mata virgem",50 msm,,HBR 5.468|C2079360F,Mix of Handwritten and Typed,no type status
Entry 187,F. J. Hermann 25019,F. J. Hermann,,25019,"December 19, 1972",1972-12-19,,Vesicularia vesicularis (Schwaegr.) Broth.,Vesicularia vesicularis (Schwaegr.) Broth.,H. Robinson,,,Colombia,Santander,,,"On base of tree trunk, Paraguitas, alt. ca. 4000 ft., 1/4 mile NW","On base of tree trunk, Paraguitas, alt. ca. 4000 feet, 1/4 mile NW",On base of tree trunk,ca. 4000 ft.,,1039101|C2079361F,Mix of Handwritten and Typed,no type status
Entry 188,Legit RICHARD EVANS SCHULTES,R. E. Schultes,,11107,"Dec., 1950",1950-12-00,,Vesicularia vesicularis (Schwgr.) Broth.,Vesicularia vesicularis (Schwgr.) Broth.,D. Griffin III,,,Colombia,Intendencia del Meta,,Villavicencio,alrededores de Villavicencio,alrededores de Villavicencio,,Alt 500 m,,No 1055509|C2079362F,Typed,no type status
Entry 189,"leg.: J.-P. Frahm, P. Geissler, S.R. Gradstein, G. Philippi, W. Schultze-Motel",J.-P. Frahm,P. Geissler|S.R. Gradstein|G. Philippi|W. Schultze-Motel,875,4.9.1982,1982-09-04,,Entodon jamesonii (Tayl.) Mitt.,Entodon jamesonii (Tayl.) Mitt.,W. Schultze-Motel,,,PERU,Amazonas,Chachapoyas,,"Dep. Amazonas, Prov. Chachapoyas, Straße Chachapoyas-Cajamarca oberhalb Leimebamba km 417, s-exponierter Hang, hochandiner Regenwald auf Kalkstein","Dep. Amazonas, Prov. Chachapoyas, Straße Chachapoyas-Cajamarca oberhalb Leimebamba km 417, s-exponierter Hang, hochandiner Regenwald auf Kalkstein",hochandiner Regenwald auf Kalkstein,2800 msm,,1076822|1041230,Typed,no type status
Entry 190,"PAUL C. HUTCHISON, J. KENNETH WRIGHT",P. C. Hutchison,J. K. Wright,4806,1 April 1964,1964-04-01,,Entodon jamesoni (Tayl.) Mitt.,Entodon jamesoni (Tayl.) Mitt.,H. Robinson,1966,,PERU,Amazonas,Chachapoyas,,"Cerros Calla Calla, east side, 5 km. above Leimebamba on the road to Balsas, at San Miguel (no buildings at this locality)","Cerros Calla Calla, east side, 5 kilometers above Leimebamba on the road to Balsas, at San Miguel (no buildings at this locality)",,Altitude 2400 m,,C2079716F|1012181,Typed,no type status
Entry 191,leg. Dana Griffin III,Dana Griffin III,,PV-966,20 febr. 1985,1985-02-20,,Entodon jamesoni (tayl.) Broth.,Entodon jamesoni (tayl.) Broth.,Dana Griffin III,,,Venezuela,Merida,,,"páramo de Los Granates, finca de Los Granates, a lo largo del río de Los Granates y en las lomas cercanas. Alt. 3.000-3.100 m","páramo de Los Granates, finca de Los Granates, a lo largo del río de Los Granates y en las lomas cercanas","Sobre roca + seca, a sombra",3.000-3.100 m,,1064416|C2079717F,Typed,no type status
Entry 192,"Ynes Mexia, No. 5687",Y. Mexia,,5687,"April 21, 1931",1931-04-21,,Entodon Lindbergii Hpe.,Entodon Lindbergii Hpe.,Bartram,,,Brazil,Minas Geraes,,Corinto,Fazenda do Diamante. Campo Tiririca.,Fazenda do Diamante. Campo Tiririca.,Base of living tree in shade,Alt. 590 m,,870818|C2079718F,Typed,no type status
Entry 193,Musci Amazonici et Andini ex coll. R. Spruce,R. Spruce,,1023,s.d.,0000-00-00,,Entodon longisetus. Hook.,Entodon longisetus Hook.,W. Mitten,,,,Andes Quitenses,,Baños,Andes Quitenses. Baños,Andes Quitenses. Baños,,,,1078203,Mix of Handwritten and Typed,no type status
Entry 194,"Marko Lewis, no. 79-590",Marko Lewis,,79-590,8 February 1979,1979-02-08,,Entodon cf. nano-climacium C.M. (= E. micans Herz.),Entodon cf. nano-climacium C.M.,W. Buck,1980,E. micans Herz.,Bolivia,Tarija,Méndez/Cercado/Avilés,,"DEPTO. TARIJA, PROV. MÉNDEZ/PROV. CERCADO/PROV. AVILÉS: Canyon 5 mi. SW of Tablada, SW of Tarija, 21° 36' S., 64° 48' W.","Canyon 5 miles SW of Tablada, SW of Tarija",Bank of creek,2160 m,"21° 36' S., 64° 48' W.",1078763|C2079720F,Typed,no type status
Entry 195,"Marko Lewis, no. 79-1220",Marko Lewis,,79-1220,22 March 1979,1979-03-22,,Entodon nano-climacium C.M. (= E. micans Herz.),Entodon nano-climacium C.M.,W. Buck,1980,,Bolivia,La Paz,Larecaja,,"Near large red outcrop 2 mi. from Sorata down Río Consata, 15° 41' S., 68° 43' W.",Near large red outcrop 2 miles from Sorata down Río Consata,Very shady ground along creek in humid shrubs,2600 m,"15° 41' S., 68° 43' W.",1078799|1046765|C2079721F,Typed,no type status
Entry 196,COLLECTED BY HARRY WARD FOOTE,H. W. Foote,,s.n.,Sep. 3,1911-09-03,,Entodon platygyrioides C.M.,Entodon platygyrioides C.M.,,,,,,,,"On rocks above San Miguel, 6000ft.","On rocks above San Miguel, 6000 feet",On rocks,6000ft.,,,Typed,no type status
Entry 197,"Marko Lewis, no. 79-1346",Marko Lewis,,79-1346,1 April 1979,1979-04-01,,cf. Entodon polycarpus,Entodon polycarpus,W. Buck,1980,,Bolivia,La Paz,Larecaja,,"DEPTO. LA PAZ, PROV. LARECAJA: Between Abra Huallata and waterfall at Millipaya, 15° 51' S., 68° 39' W",Between Abra Huallata and waterfall at Millipaya,"Waterfall ravine, highest extension of shrubs",3780 m,"15° 51' S., 68° 39' W",N° 107875|1046746|C2079723F,Typed,no type status
Entry 198,H. Roivainen,H. Roivainen,,2095,25.1.1970,1970-01-25,,Isopterygium pulchellum (Hedw.) Jaeg.,Isopterygium pulchellum (Hedw.) Jaeg.,R. Ochyra,1996,Nothofagus pumilio,Argentina,Tierra del Fuego,,Ushuaia,"Tierra del Fuego australis, Ushuaia, Arroyo Grande (54°47'S,68°17'W), en fisuras de roca y en raizes humoso-arcillosos de Nothofagus pumilio, en orilla de la cascada,150 m s.m.,bastante copiosamente","Tierra del Fuego australis, Ushuaia, Arroyo Grande, en fisuras de roca y en raizes humoso-arcillosos de Nothofagus pumilio, en orilla de la cascada,150 meters s.m.,bastante copiosamente","en fisuras de roca y en raizes humoso-arcillosos de Nothofagus pumilio, en orilla de la cascada, bastante copiosamente",150 m s.m.,"54°47'S,68°17'W",1182417 | C2079595F,Typed,no type status
Entry 199,H. Roivainen,H. Roivainen,,1352,24.12.1969,1969-12-24,,Isopterygium pulchellum (Brid.) Jaeg.,Isopterygium pulchellum (Brid.) Jaeg.,R. Ochyra,1996,,Argentina,Tierra del Fuego,,Ushuaia,"Tierra del Fuego australis, Ushuaia, Valle del Río Pipo (54°46'S, 68°20'W), suelo humoso húmedo en el pendiente del río, 300 m s.m., bastante copiosamente","Tierra del Fuego australis, Ushuaia, Valle del Río Pipo, suelo humoso húmedo en el pendiente del río, 300 meters s.m., bastante copiosamente",suelo humoso húmedo en el pendiente del río,300 m s.m.,"54°46'S, 68°20'W",No 1182415|C2079596F,Typed,no type status
Entry 200,leg. E. P. Killip & A. C. Smith,E. P. Killip,A. C. Smith,14871,"November 29, 1926",1926-11-29,,Isopterygium stigmocarpum (C.M.) Par.,Isopterygium tenerum (Sw.) Mitt.,R. R. Ireland,1988,,COLOMBIA,Santander,,,"between Puerto Wilches and Puerto Santos, alt. 110-115 m.","between Puerto Wilches and Puerto Santos, alt. 110-115 meters",,110-115 m.,,3040009,Typed,no type status
Entry 201,Legit RICHARD EVANS SCHULTES,R. E. Schultes,,11110,"Dec., 1950",1950-12-00,,Isopterygium tenerum (Sw.) Mitt.,Isopterygium tenerum (Sw.) Mitt.,D. Griffin III,,,Colombia,Meta,,Villavicencio,Intendencia del Meta: alrededores de Villavicencio,alrededores de Villavicencio,,Alt. 500 m,,1055473,Typed,no type status
Entry 202,D.C.Geijskes,D. C. Geijskes,,s.n.,29 - 9 - 1952,1952-09-29,,Isopterygium tenerum(Sw.)Mitt.,Isopterygium tenerum(Sw.)Mitt.,H. R. Zielman,,,Surinam,,,,Marowijne River; Armina Falls,Marowijne River; Armina Falls,"Rainforest On roots and rocks on bank of river, shad",,,1073518|1040096,Mix of Handwritten and Typed,no type status
Entry 203,"Ynes Mexia, No. 4841",Y. Mexia,,4841,"July 6, 1930",1930-07-06,,Isopterygium brachyneuron (C.M.)Mitt. ex p.,Isopterygium tenerum (Sw.) Mitt.,R.R. Ireland,1988,,Brazil,Minas Gerais,,Viçosa,Agricultural College land. Horticultural Hill. Cut over woods near base.,Agricultural College land. Horticultural Hill. Cut over woods near base.,On rotting log. Abundant.,Alt. 670 m,,C2079600F|1039979,Typed,no type status
Entry 204,"Ynes Mexia, No. 4888",Ynes Mexia,,4888,"July 21, 1930",1930-07-21,,Isopterygium laxum (Hpe.) Broth.,Isopterygium tenerum (Sw.) Mitt.,R.R. Ireland,1988,,Brazil,Minas Geraes,,Viçosa,Viçosa Agricultural College lands. Corriga Riberro. Shady streambank. On rotten wood.,Viçosa Agricultural College lands. Corriga Riberro. Shady streambank. On rotten wood.,Shady streambank. On rotten wood.,Alt. 675 m.,,873365|C2079601F,Typed,no type status
Entry 205,"Ynes Mexia, No. 5306",Y. Mexia,,5306,"Dec. 8, 1930",1930-12-08,,Isopterygium brachyneuron (C.M.) Mitt.,Isopterygium tenerum (Sw.)Mitt.,R. R. Ireland,1988,,Brazil,Minas Gerais,,Viçosa,Road to São Miguel. About 1m. O. Dense forest. On rotten log. In fruit.,Road to São Miguel. About 1 miles O. Dense forest. On rotten log. In fruit.,Dense forest. On rotten log. In fruit.,Alt. 710 m.,,870841|C2079602F,Typed,no type status
Entry 206,"Ynes Mexia, No. 5441",Y. Mexia,,5441,"Dec. 23, 1930",1930-12-23,,Isopterygium tenerum (Sw.) Mitt.,Isopterygium tenerum (Sw.) Mitt.,R. R. Ireland,1988,,Brazil,Minas Geraes,,Viçosa,"Viçosa Agricultural College lands. Base of Horticultural Hill. On rotting log, in woods. Abundant.","Viçosa Agricultural College lands. Base of Horticultural Hill. On rotting log, in woods. Abundant.","On rotting log, in woods. Abundant.",Alt. 670 m.,,870823|1796006|C2079603F,Mix of Handwritten and Typed,no type status
Entry 207,"H. S. Irwin, R. M. Harley, G. L. Smith",H. S. Irwin,R. M. Harley | G. L. Smith,31332,2 March 1971,1971-03-02,,ISOPTERYGIUM TENERUM (Sw.) Mitt.,Isopterygium tenerum (Sw.) Mitt.,R. R. Ireland,1988,Coccoloba sp.,Brasil,Bahia,,Barreiras,Valley of the Rio das Ondas,"On the bark and exposed roots of Coccoloba sp, and on adjacent soil, at river bank. Cut-over gallery forest and adjacent cerrado, ca. 10km W. of Barreiras, elev. ca. 500m","On the bark and exposed roots of Coccoloba sp, and on adjacent soil, at river bank. Cut-over gallery forest and adjacent cerrado",ca. 500m,,1059328 | C2079604F,Typed,no type status
Entry 208,"Ynes Mexia, No. 4884",Y. Mexia,,4884,"July 21, 1930",1930-07-21,,Isopterygium curvicollum (C.M.) Mitt.,Isopterygium tenerum (Sw.) Mitt.,R. R. Ireland,1988,,Brazil,Minas Geraes,,Viçosa,Viçosa Agricultural College lands. Corrigo Riberro.,Viçosa Agricultural College lands. Corrigo Riberro.,"Shady streambank, on rotten log. Abundant.",Alt. 675 m.,,870845|C2079606F,Typed,no type status
Entry 209,"Ynes Mexia, No. 4698",Ynes Mexia,,4698,"May 14, 1930",1930-05-14,,Isopterygium curvicollum (C.M.) Mitt. Ex P.,Isopterygium tenerum (Sw.) Mitt.,R.R. Ireland,19 88,,Brazil,Minas Geraes,,Viçosa,Fazenda de Cresiuma. Wood on slope. On rotten log.,Fazenda de Cresiuma. Wood on slope. On rotten log.,On rotten log,Alt. 700 m,,870839|C2079607F,Mix of Handwritten and Typed,no type status
Entry 210,"Ynes Mexia, No. 4884",Y. Mexia,,4884,"July 21, 1930",1930-07-21,,Isopterygium curvicollum (C.M.) Mitt.,Isopterygium tenerum (Sw.) Mitt.,R. R. Ireland,1988,,Brazil,Minas Geraes,,Viçosa,Viçosa Agricultural College lands. Corrige Riberro.,Viçosa Agricultural College lands. Corrige Riberro.,"Shady streambank, on rotten log. Abundant.",Alt. 675 m.,,1039977|C2079608F,Typed,no type status
Entry 211,"Ynes Mexia, No. 4545",Y. Mexia,,4545,"March 31, 1930",1930-03-31,,Isopterygium curvicollum (C.M.) Mitt.,Isopterygium tenerum (Sw.) Mitt.,R. R. Ireland,1988,,Brazil,Minas Gerais,,Viçosa,"Road to São Miguel. Near stream ""Turca."" Cut over woods on slope. On rotting tree trunk","Road to São Miguel. Near stream ""Turca."" Cut over woods on slope. On rotting tree trunk",On rotting tree trunk,Alt. 710 m,,1039978,Typed,no type status
Entry 212,"leg. V. Schiffner, det. V. F. Brotherus",V. Schiffner,,2898,m. Jul. fr.,0000-07-00,,Isopterygium aurantiacum (C.M.) Broth.,Isopterygium tenerum (Sw.) Mitt.,R. R. Ireland,1988,,Brasilia,São Paulo,,Cerqueira-Cesar,"prope urbem Cerqueira-Cesar, in palude, c. 500 m. s. m.","prope urbem Cerqueira-Cesar, in palude, c. 500 meters s. m.",in palude,c. 500 m. s. m.,,1012176|C2079611F,Typed,no type status
Entry 213,"Ynes Mexia, No. 4841",Y. Mexia,,4841,"July 6, 1930",1930-07-06,,Isopterygium brachyneuron (C.M.) Mitt.ex p,Isopterygium tenerum (Sw.) Mitt.,R. R. Ireland,1988,,Brazil,Minas Geraes,,Viçosa,Viçosa Agricultural College lands. Horticultural Hill. Cut over woods near base.,Viçosa Agricultural College lands. Horticultural Hill. Cut over woods near base.,On rotting log. Abundant.,Alt. 670 m,,870837|C2079856F,Typed,no type status
Entry 214,"COLLECTED BY R. S. WILLIAMS, 1901-1902",R. S. Williams,,2095,"Nov. 29, 1901",1901-11-29,,Isopterygium tenerum (Sw.) Mitt.,Isopterygium tenerum (Sw.) Mitt.,R. R. Ireland,1988,,BOLIVIA,,,,"San Buena Ventura, 190 meters, on bark","San Buena Ventura, 190 meters, on bark",on bark,190 meters,,1039983|C2079858F,Typed,no type status
Entry 215,"COLLECTED BY R. S. WILLIAMS, 1901-1902",R. S. Williams,,2059,1901-1902,1901-00-00,1902-00-00,Isopterygium tenerum (Sw.) Mitt.,Isopterygium tenerum (Sw.) Mitt.,R. S. Williams,23 Jan. 1902,,Bolivia,,,,Tumupasa,Tumupasa,,,,1017412|C2079859F,Typed,no type status
Entry 216,leg. Hagen,Hagen,,s.n.,27/7 1907,1907-07-27,,Pogonatum urnigerum (L.) var. α humile (Wahlenb.),Pogonatum urnigerum (L.) var. α humile (Wahlenb.),,,,Norvegia,Trondelag,Sundbygdens amt,Opdal,Vårstigen,Vårstigen,,altit. mtr. 900,,C2010970F,Handwritten,no type status
Entry 217,Herbarium of Elihu Hall,E. Hall,,s.n.,s.d.,0000-00-00,,Pogonatum umigerum Brid,Pogonatum umigerum Brid.,,,,England,,,,,[precise locality unknown],,,,Z35534|C2010972F,Typed,no type status
Entry 218,,,,s.n.,1878,1878-00-00,,Pogonatum urnigerum Par.,Pogonatum urnigerum Par.,,,,,Pyrenées,,,Gorge de Jeret,Gorge de Jeret,,,,C2000534F,Handwritten,no type status
Entry 219,W.M.,W. Mitten,,s.n.,Mch 1847,1847-03-00,,Pogonatum urnigerum,Pogonatum urnigerum,,,,England,Sussex,,,Hendey Hill Near Blackdown,Hendey Hill Near Blackdown,,,,1096014,Mix of Handwritten and Typed,no type status
Entry 220,Ex. Herb: GEORGE E. HUNT,Holmes,,s.n.,1879,1879-00-00,,Pogonatum urnigerum,Pogonatum urnigerum,,,Vaccinium virgatum,,Devon,,Plymouth,Plymouth,Plymouth,,,,1182972|C2000538F,Handwritten,no type status
Entry 221,leg Jeanpert,Jeanpert,,s.n.,21/4/94,1894-04-21,,Pogonatum urnigerum P.B,Pogonatum urnigerum P.B,,,,,,,Villers Cotterets,"Villers Cotterets route de Soissons, saussaie","Villers Cotterets route de Soissons, saussaie",sable,,,1058477,Handwritten,no type status
Entry 222,C. Müller Frib.,C. Müller,,,9. Sept. 1905,1905-09-09,,Pogonatum urnigerum (L.) Pal. Beauv. c. fr.,Pogonatum urnigerum (L.) Pal. Beauv.,,,,,Baden,,,"auf Erde in Felsritzen zwischen Rinken und Seebrück am Feldberge, etwa 1250 m s. m.","auf Erde in Felsritzen zwischen Rinken und Seebrück am Feldberge, etwa 1250 meters",auf Erde in Felsritzen,etwa 1250 m s. m.,,1194391|C2000932F,Typed,no type status
Entry 223,leg.Zd.Pilous,Zd. Pilous,,214,V.1946,1946-05-00,,Pogonatum urnigerum P.B.,Pogonatum urnigerum P.B.,,,,Bohemia,Montes Krkonoše,,Hoření Vrchlabí,"In declivis graminosis silvaticis prope pagum Hoření Vrchlabí, ca 580 m","In declivis graminosis silvaticis prope pagum Hoření Vrchlabí, ca 580 meters",In declivis graminosis silvaticis,ca 580 m,,1270015,Typed,no type status
Entry 224,Collected in 1841-3 by James Thompson,James Thompson,,1042,Sept. 2 1842,1842-09-02,,Pogonatum urnigerum,Pogonatum urnigerum C. Müller,C. Müller,,,Scotland,,,,,[precise locality unknown],,,,1230970|C2000936F,Mix of Handwritten and Typed,no type status
Entry 225,leg. Philippe,Philippe,,s.n.,s.d.,0000-00-00,,Pogonatum urnigerum,Pogonatum urnigerum,,,,,,,,Peña de Rheuis,Peña de Rheuis,,,,1058446,Handwritten,no type status
Entry 226,Herbarium of L. N. Johnson,L. N. Johnson,,s.n.,1848,1848-00-00,,"Pogonatum urnigerum, Breuv.","Pogonatum urnigerum, Breuv.",,,,Germany,,,,Marraques Fall,Marraques Fall,,,,1159426,Handwritten,no type status
Entry 227,Leg. C. Jensen,C. Jensen,,s.n.,25/10 1901,1901-10-25,,Pogonatum urnigerum (Hedw.) PB.,Pogonatum urnigerum (Hedw.) PB.,,,,Denmark,Sjælland,,Hvalse,Magistratskoven by Hvalse in a gravel-pit,Magistratskoven by Hvalse in a gravel-pit,in a gravel-pit,,,,Handwritten,no type status
Entry 228,Herbier Ed. Jeanpert,Ed. Jeanpert,,s.n.,s.d.,0000-00-00,,unsure and check,unsure and check,,,,,,,,,[precise locality unknown],,,,1058475,Handwritten,no type status
Entry 229,1876 leg. Restoin,Restoin,,s.n.,1876,1876-00-00,,Pogonatum urnigerum P.B.,Pogonatum urnigerum P.B.,,,,,manche,,,Sourdenal (manche),Sourdenal (manche),,,,1058481,Handwritten,no type status
Entry 230,ex herb. George E. Hunt,G. E. Hunt,,s.n.,s.d.,0000-00-00,,Pogonatum aloides Bridel,Pogonatum aloides Bridel,,,,SCOTLAND,,,,,[precise locality unknown],,,,1182976,Typed,no type status
Entry 231,Leg. M. Onraedt,M. Onraedt,,76.L.8693,Le 18.07.1976,1976-07-18,,"Pogonatum urnigerum P. Beauv., Schimp. = Polytrichum urnigerum L.","Pogonatum urnigerum P. Beauv., Schimp.",M. Onraedt,,Polytrichum urnigerum L.,Suisse,Canton du Valais,Val d'Hérens,La Forclaz,"Suisse: Canton du Valais, Val d'Hérens, à La Forclaz","Suisse: Canton du Valais, Val d'Hérens, à La Forclaz",sur talus ensoleillé; alt. Ca. 1750 m,alt. Ca. 1750 m,,2010614F,Mix of Handwritten and Typed,no type status
Entry 232,Leg. M. Onraedt,M. Onraedt,,76.5.1580,Le 24/07/1976,1976-07-24,,Pogonatum urnigerum P. Beauv. Schimp.,Pogonatum urnigerum P. Beauv. Schimp.,,,,Suisse,Canton du Valais,Val d'Hérens,,entre St. Martin et Mase,entre St. Martin et Mase,talus forestier,alt. 1600m,,No. 1050867|C2010616F,Typed,no type status
