Entry,Images,verbatimCollectors,collectedBy,secondaryCollectors,recordNumber,verbatimEventDate,minimumEventDate,maximumEventDate,verbatimIdentification,latestScientificName,identifiedBy,verbatimDateIdentified,associatedTaxa,country,firstPoliticalUnit,secondPoliticalUnit,municipality,verbatimLocality,locality,habitat,verbatimElevation,verbatimCoordinates,otherCatalogNumbers,originalMethod,typeStatus
Entry 170,"0210_C2078927F.jpg, 0210_C2078927F_collage.png",Marko Lewis,M. Lewis,N/A,no79-2112,25 May 1979,1979-05-25,N/A,Brachythecium calliergonioides Broth. in Herz.,Brachythecium calliergonioides,R. Ochyra,1982,N/A,Bolivia,Oruro,Sajama,N/A,Rio Junthuma Khuchu 2 mi. down river from Aguas termales de Rio Junthuma Khuchu,Rio Junthuma Khuchu 2 miles down river from Aguas termales de Rio Junthuma Khuchu,In warmish creek,4350 m,18° 07' S. 69° 00' W.,C2079827F,Typed,no type status
Entry 171,"0211_C2078928F.jpg, 0211_C2078928F_collage.png",Marko Lewis,M. Lewis,N/A,79-2115,25 May 1979,1979-05-25,N/A,Brachythecium calliergonioides Broth. in Herz.,Brachythecium calliergonioides,R. Ochyra,1982,N/A,Bolivia,Oruro,Sajama,N/A,Río Junthuma Khuchu 2 mi. down river from Aguas termales de Río Junthuma Khuchu,Río Junthuma Khuchu 2 miles down river from Aguas termales de Río Junthuma Khuchu,In warmish creek,4350 m,18° 07' S 69° 00' W,C2078928F,Typed,no type status
Entry 172,"0212_C2078929F.jpg, 0212_C2078929F_collage.png",Marko Lewis,M. Lewis,N/A,79-2117,25 May 1979,1979-05-25,N/A,Brachythecium calliergonioides Broth. in Herz.,Brachythecium calliergonioides,R. Ochyra,1982,N/A,Bolivia,Oruro,Sajama,N/A,Río Junthuma Khuchu 2 mi. down river from Aguas termales de Río Junthuma Khuchu 4350 m 18° 07' S 69° 00' W In warmish creek,Río Junthuma Khuchu 2 miles down river from Aguas termales de Río Junthuma Khuchu,In warmish creek,4350 m,18° 07' S 69° 00' W,C2078629F,Typed,no type status
Entry 173,"0213_C2078930F.jpg, 0213_C2078930F_collage.png",Marko Lewis,M. Lewis,N/A,79-2118,25 May 1979,1979-05-25,N/A,Brachythecium calliergonioides Broth. in Herz.,Brachythecium calliergonioides,R. Ochyra,1982,N/A,Bolivia,Oruro,Sajama,N/A,Rio Junthuma Khuchu 2 mi. down river from Aguas termales de Rio Junthuma Khuchu,Rio Junthuma Khuchu 2 miles down river from Aguas termales de Rio Junthuma Khuchu,In warmish creek,4350 m,18° 07' S 69° 00' W,C0207830F,Mix of Handwritten and Typed,no type status
Entry 174,"0214_C2078931F.jpg, 0214_C2078931F_collage.png",Marko Lewis,M. Lewis,N/A,79-2107,25 May 1979,1979-05-25,N/A,Brachythecium calliergonioides Broth. in Herz.,Brachythecium calliergonioides,R. Ochyra,1982,N/A,Bolivia,Oruro,Sajama,N/A,Río Junthuma Khuchu 2 mi. down river from Aguas termales de Río Junthuma Khuchu,Río Junthuma Khuchu 2 miles down river from Aguas termales de Río Junthuma Khuchu,In warmish creek,4350 m,18° 07' S 69° 00' W,C2078931F,Typed,no type status
Entry 175,"0215_C2078932F.jpg, 0215_C2078932F_collage.png",Marko Lewis,M. Lewis,N/A,79-2119,25 May 1979,1979-05-25,N/A,Brachythecium calliergonoides Broth. in Herz.,Brachythecium calliergonoides,R. Ochyra,1982,N/A,Bolivia,Oruro,Sajama,N/A,Rio Junthuma Khuchu 2 mi. down river from Aguas termales de Rio Junthuma Khuchu,Rio Junthuma Khuchu 2 miles down river from Aguas termales de Rio Junthuma Khuchu,In warmish creek,4350 m.,18° 07' S. 69° 00' W.,1049412,Typed,no type status
Entry 176,"0216_C2079350F.jpg, 0216_C2079350F_collage.png",Ynes Mexia,Y. Mexia,N/A,6149,"Nov. 23, 1931",1931-11-23,N/A,Vesicularia amphibola (Spr.) Broth.,Vesicularia amphibola,E. B. Bartram,N/A,N/A,Peru,Loreto,N/A,N/A,Above Pongo de Manseriche Left bank of Rio Santiago,Above Pongo de Manseriche Left bank of Rio Santiago,On stone in overflow forest,Alt. 200 m.,N/A,873368,Typed,no type status
Entry 177,"0217_C2079351F.jpg, 0217_C2079351F_collage.png",Yves Mexia No. 6160-a,Y. Mexia,N/A,6160-a,"Nov. 25, 1931",1931-11-25,N/A,Vesicularia amphibola (Spr.) Broth.,Vesicularia amphibola,M. Bartram,N/A,N/A,Peru,Loreto,N/A,N/A,Above Pongo de Manseriche Right bank of Rio Santiago,Above Pongo de Manseriche Right bank of Rio Santiago,Dense forest on log,Alt. 200 m.,N/A,873367,Typed,no type status
Entry 178,"0218_C2079352F.jpg, 0218_C2079352F_collage.png",Ynes Mexia,Y. Mexia,N/A,6217-a,"Dec. 4, 1931",1931-12-04,N/A,Vesicularia amphibola (Spr.) Broth.,Vesicularia amphibola,N/A,N/A,N/A,Peru,Loreto,N/A,N/A,Above Pongo de Manseriche,Streamlet on right bank of Rio Santiago,On rocks wet by spray,Alt. 250 m.,N/A,870879,Typed,no type status
Entry 179,"0219_C2079353F.jpg, 0219_C2079353F_collage.png",Ynes Mexia,Y. Mexia,N/A,6259-a,"Dec. 12, 1931",1931-12-12,N/A,Vesicularia amphibola (Spr.) Broth.,Vesicularia amphibola,E. Extram,N/A,N/A,Peru,Loreto,N/A,N/A,Above Pongo de Manseriche,Above Pongo de Manseriche,Creek Carapias log in forest,Alt. 215 m.,N/A,870867,Typed,no type status
Entry 180,"0220_C2079354F.jpg, 0220_C2079354F_collage.png",Ynes Mexia,Y. Mexia,N/A,6354-a,"Jan. 3, 1932",1932-01-03,N/A,Vesicularia amphibola (Spr.) Broth.,Vesicularia amphibola,E. Bartram,N/A,N/A,Peru,Loreto,N/A,N/A,Above Pongo de Manseriche,Above Pongo de Manseriche,On earth collected on inclined tree trunk,Alt. 215 m.,N/A,873369,Typed,no type status
Entry 181,"0221_C2079355F.jpg, 0221_C2079355F_collage.png",Ynes Mexia,Y. Mexia,N/A,6375a,"Jan. 3, 1932",1932-01-03,N/A,Vesicularia amphibola (Spr.) Broth.,Vesicularia amphibola,N/A,det. Bartram,Taxithelium planum,Peru,Loreto,N/A,N/A,Above Pongo de Manseriche Creek Inche,Above Pongo de Manseriche Creek Inche,On rotten log Sterile,Alt. 215 m.,N/A,1039121,Typed,no type status
Entry 182,"0222_C2079356F.jpg, 0222_C2079356F_collage.png",Ynes Mexia,Y. Mexia,N/A,6375-m,"Jan. 3, 1935",1935-01-03,N/A,Vestiazelia amphibia (Spr.) Broth.,Vestiazelia amphibia,J. Bartram,N/A,Taxithelium planum,Peru,Loreto,N/A,N/A,Above Pongo de Manseriche,Above Pongo de Manseriche,Creek Incho On rotten log Sterile,Alt. 215 m,N/A,870880,Typed,no type status
Entry 183,"0223_C2079357F.jpg, 0223_C2079357F_collage.png",Ynes Mexia,Y. Mexia,N/A,6377,"Jan. 3, 1932",1932-01-03,N/A,Vesicularia amphibola (Spr.) Broth.,Vesicularia amphibola,E. Bartram,N/A,N/A,Peru,Loreto,N/A,N/A,Above Pongo de Manseriche. Creek Inche.,Above Pongo de Manseriche. Creek Inche.,On rotten log.,Alt. 215 m.,N/A,870873,Typed,no type status
Entry 184,"0224_C2079358F.jpg, 0224_C2079358F_collage.png",Ynes Mexia,Y. Mexia,N/A,8070,"May 14, 1936",1936-05-14,N/A,Vesicularia amphibia (Spr.) Broth. in mixture,Vesicularia amphibia,F. Bartram,N/A,N/A,Peru,Cuzco,La Convencion,N/A,upper valley of the Sambray; affluent of the Vilcanota,upper valley of the Sambray; affluent of the Vilcanota,on rotten logs in virgin forest,Alt. 1800 m,N/A,106818,Typed,no type status
Entry 185,"0225_C2079359F.jpg, 0225_C2079359F_collage.png",Ynes Mexia,Y. Mexia,N/A,8070,"May 14, 1936",1936-05-14,N/A,Vesicularia amphibola (Spr.) Broth. in mixture,Vesicularia amphibola,E. Bartram,N/A,N/A,Peru,Cuzco,La Convencion,N/A,upper valley of the Sambray; affluent of the Vilcanota; on rotten logs in virgin forest,upper valley of the Sambray; affluent of the Vilcanota,on rotten logs in virgin forest,Alt. 1800 m.,N/A,1039122,Typed,no type status
Entry 186,"0226_C2079360F.jpg, 0226_C2079360F_collage.png",L. Reitz,L. Reitz,N/A,2222,2.9.50,1950-09-02,N/A,Vesicularia vesicularis (Schwagr.) Broth.,Vesicularia vesicularis,R. Reimers,1954,N/A,Brazil,Santa Catarina,N/A,N/A,Asambuja Brusque,Asambuja Brusque,Epiphyte da mata virgem,Alt. 50 m,N/A,5468,Typed,no type status
Entry 187,"0227_C2079361F.jpg, 0227_C2079361F_collage.png",F. J. Hermann,F. J. Hermann,N/A,25019,"December 19, 1972",1972-12-19,N/A,Vesicularia vesicularis (Schwaegr.) Broth.,Vesicularia vesicularis,H. Robinson,N/A,N/A,Colombia,Santander,N/A,N/A,On base of tree trunk Paraguitas 1/4 mile NW,Paraguitas 1/4 mile northwest,On base of tree trunk,alt. ca. 4000 ft.,N/A,4039401,Typed,no type status
Entry 188,"0228_C2079362F.jpg, 0228_C2079362F_collage.png",RICHARD EVANS SCHULTES,R. E. Schultes,N/A,11107,"Dec., 1950",1950-12-00,N/A,Vesicularia vesicularis (Schwgr.) Broth.,Vesicularia vesicularis,D. Griffin,N/A,N/A,Colombia,Meta,N/A,Villavicencio,alrededores de Villavicencio,[precise locality unknown],N/A,Alt 500 m.,N/A,N/A,Typed,no type status
Entry 189,"0229_C2079715F.jpg, 0229_C2079715F_collage.png","J.P. Frahm, P. Geissler, S.R. Gradstein, G. Philippi, W. Schultze-Motel",J. P. Frahm,P. Geissler | S. R. Gradstein | G. Philippi | W. Schultze-Motel,875,4.9.1982,1982-09-04,N/A,Entodon jamesonii (Tayl.) Mitt.,Entodon jamesonii,W. Schultze-Motel,N/A,N/A,Peru,Amazonas,Chachapoyas,N/A,Straße Chachapoyas-Cajamarca oberhalb Leimebamba km 417 s-exponierter Hang hochandiner Regenwald auf Kalkstein,Straße Chachapoyas-Cajamarca above Leimebamba kilometer 417,South-exposed slope high Andean rainforest on limestone,2800 msm,N/A,1076822 | 104130,Typed,no type status
Entry 190,"0230_C2079716F.jpg, 0230_C2079716F_collage.png",PAUL C. HUTCHISON | J. KENNETH WRIGHT,P. C. Hutchison,J. K. Wright,1806,1 April 1964,1964-04-01,N/A,"Entodon jamesonii (Tayl.) Mitt. dupl. det. H. Robinson, 1966",Entodon jamesonii,H. Robinson,1966,N/A,Peru,Amazonas,Chachapoyas,N/A,"Cerros Calla Calla, east side, 5 km. above Leimebamba on the road to Balsas, at San Miguel (no buildings at this locality)","Cerros Calla Calla, east side, 5 kilometers above Leimebamba on the road to Balsas, at San Miguel (no buildings at this locality)",N/A,Altitude 2400 m,N/A,1012131,Typed,no type status
Entry 191,"0231_C2079717F.jpg, 0231_C2079717F_collage.png",leg. Dana Griffin III,D. Griffin,N/A,PV-966,20 feb. 1985,1985-02-20,N/A,Entodon jamesoni (tayl.) Broth.,Entodon jamesoni,D. Griffin,N/A,N/A,Venezuela,Merida,N/A,N/A,páramo de Los Granates finca de Los Granates a lo largo del río de Los Granates y en las lomas cercanas,Páramo de Los Granates finca de Los Granates along the río de Los Granates and in the nearby hills,Sobre roca seca a sombra,3000-3100 m,N/A,1064416,Typed,no type status
Entry 192,"0232_C2079718F.jpg, 0232_C2079718F_collage.png",Ynes Mexia,Y. Mexia,N/A,5687,"April 21, 1931",1931-04-21,N/A,Entodon Lindbergii Ipe.,Entodon lindbergii,E. Bartram,N/A,N/A,Brazil,Minas Gerais,N/A,Corinto,Fazenda do Diamante Campo Tiririca,Fazenda do Diamante Campo Tiririca,Base of living tree in shade,Alt. 500 m.,N/A,870818,Typed,no type status
Entry 193,"0233_C2079719F.jpg, 0233_C2079719F_collage.png",R. Spruce,R. Spruce,N/A,1023,s.d.,0000-00-00,N/A,Entodon longisetus Hook.,Entodon longisetus,W. Mitten,s.d.,N/A,Ecuador,N/A,N/A,Baños,Andes Ecuatorices Baños,Baños,N/A,N/A,N/A,1078203,Mix of Handwritten and Typed,no type status
Entry 194,"0234_C2079720F.jpg, 0234_C2079720F_collage.png",Marko Lewis,M. Lewis,N/A,79-590,8 February 1979,1979-02-08,N/A,Entodon cf. nano-climacium C.M. (= E. micans Herz.),Entodon nano-climacium,W. Buck,1980,N/A,Bolivia,Tarija,Méndez,Cercado,Canyon 5 mi. SW of Tablada SW of Tarija,Canyon 5 miles southwest of Tablada southwest of Tarija,Bank of creek,2160 m.,21° 36' S 64° 48' W,1078788,Typed,no type status
Entry 195,"0235_C2079721F.jpg, 0235_C2079721F_collage.png",Marko Lewis,M. Lewis,N/A,79-1220,22 March 1979,1979-03-22,N/A,Entodon nano-climacium C.M. (= E. micans Herz.),Entodon nano-climacium,W. Buck,1980,N/A,Bolivia,La Paz,Larecaja,N/A,Near large red outcrop 2 mi. from Sorata down Río Consata,Near large red outcrop 2 miles from Sorata down Río Consata,Very shady ground along creek in humid shrubs,2600 m.,"15° 41' S., 68° 43' W.",C0207921F,Typed,no type status
Entry 196,"0236_C2079722F.jpg, 0236_C2079722F_collage.png",COLLECTED BY HARRY WARD FOOTE,H. W. Foote,N/A,s.n.,Sept. 3,1911-09-03,N/A,Entosthodon platyphylloides C. Muell.,Entosthodon platyphylloides,unsure and check,N/A,N/A,Peru,N/A,N/A,San Miguel,On rocks above San Miguel 10000 ft,On rocks above San Miguel,N/A,10000 ft,N/A,N/A,Mix of Handwritten and Typed,no type status
Entry 197,"0237_C2079723F.jpg, 0237_C2079723F_collage.png",Marko Lewis,M. Lewis,N/A,79-1346,1 April 1979,1979-04-01,N/A,cf. Entodon polycarpus,Entodon polycarpus,W. Buck,1980,N/A,Bolivia,La Paz,Larecaja,N/A,Between Abra Huallata and waterfall at Millipaya,Between Abra Huallata and waterfall at Millipaya,Waterfall ravine highest extension of shrubs,3780 m,15° 51' S 68° 39' W,104636,Typed,no type status
Entry 198,"0238_C2079595F.jpg, 0238_C2079595F_collage.png",H. Roivainen,H. Roivainen,N/A,2095,25.1.1970,1970-01-25,N/A,Isopterygium pulchellum (Hedw.) Jaeg.,Isopterygium pulchellum,R. Ochyra,1996,Nothofagus pumilio,Argentina,Tierra del Fuego,N/A,Ushuaia,australis Ushuaia Arroyo Grande (54°47'S 68°17'W) en fisuras de roca y en raices humoso-arcillosos de Nothofagus pumilio en orilla de la cascada 150 m s.m. bastante copiosamente,Arroyo Grande in fissures of rock and in humus-clay roots of Nothofagus pumilio on the edge of the waterfall 150 meters,en fisuras de roca y en raices humoso-arcillosos de Nothofagus pumilio en orilla de la cascada,150 m s.m.,54°47'S 68°17'W,1132417,Typed,no type status
Entry 199,"0239_C2079596F.jpg, 0239_C2079596F_collage.png",H. Roivainen,H. Roivainen,N/A,1352,24.12.1969,1969-12-24,N/A,Isopterygium pulchellum (Brid.) Jaeg.,Isopterygium pulchellum,R. Ochyra,1996,N/A,Argentina,Tierra del Fuego,N/A,Ushuaia,Valle del río Pipo,Valle del rio Pipo,suelo humoso húmedo en el pendiente del río bastante copiosamente,300 m s.m.,54°46'S 68°20'W,C2079596F,Typed,no type status
Entry 200,"0240_C2079597F.jpg, 0240_C2079597F_collage.png",E. P. Killip & A. C. Smith,E. P. Killip,A. C. Smith,14871,"November 29, 1926",1926-11-29,N/A,Isopterygium stigmocarpum (C. M.) Par.,Isopterygium tenerum,R. R. Ireland,1988,N/A,Colombia,Santander,N/A,N/A,"Dept. Santander, between Puerto Wilches and Puerto Santos",Between Puerto Wilches and Puerto Santos,N/A,alt. 110-115 m.,N/A,104009,Typed,no type status
Entry 201,"0241_C2079598F.jpg, 0241_C2079598F_collage.png",RICHARD EVANS SCHULTES,R. E. Schultes,N/A,1110,"Dec., 1950",1950-12-00,N/A,Isopterygium tenerum (Sw.) Mitt.,Isopterygium tenerum,D. Griffin III,N/A,N/A,Colombia,Meta,N/A,Villavicencio,alrededores de Villavicencio,[precise locality unknown],N/A,Alt. 500 m.,N/A,1055473,Typed,no type status
Entry 202,"0242_C2079599F.jpg, 0242_C2079599F_collage.png",D. C. Geijskes,D. C. Geijskes,N/A,s.n.,29 - 9 - 1952,1952-09-29,N/A,Isopterygium tenerum (Sw.) Mitt.,Isopterygium tenerum,H. R. Zielman,N/A,N/A,Suriname,N/A,N/A,N/A,Juroka River Amima falls,Juroka River Amima falls,Rainforest On roots and rocks on bank of river,N/A,N/A,1073518,Typed,no type status
Entry 203,"0243_C2079600F.jpg, 0243_C2079600F_collage.png",Ynes Mexia,Y. Mexia,N/A,4842,July 6 1930,1930-07-06,N/A,Isopterygium brachyneuron (C M) Mitt ex p p Bartram,Isopterygium tenerum,R. R. Ireland,1988,N/A,Brazil,Minas Gerais,N/A,Vicosa,Agricultural College land Horticultural Hill Out over woods near base,Agricultural College land Horticultural Hill Out over woods near base,On rotting log Abundant,Alt 670 m,N/A,1039979,Typed,no type status
Entry 204,"0244_C2079601F.jpg, 0244_C2079601F_collage.png",Ynes Mexia,Y. Mexia,N/A,4888,"July 21, 1930",1930-07-21,N/A,Isopterygium laxum (Hpe.) Broth.,Isopterygium tenerum,Bertram,N/A,N/A,Brazil,Minas Gerais,N/A,N/A,Vicosa Agricultural College lands. Corriga Ribero.,Vicosa Agricultural College lands. Corriga Ribero.,Shady streambank. On rotten wood.,Alt. 675 m.,N/A,873365,Typed,no type status
Entry 205,"0245_C2079602F.jpg, 0245_C2079602F_collage.png",Ynes Mexia,Y. Mexia,N/A,5386,"Dec. 6, 1930",1930-12-06,N/A,Isopterygium brachypus (C. Mull.) Mitt.,Isopterygium tenerum,R. R. Ireland,1988,N/A,Brazil,Minas Gerais,N/A,Viçosa,Road to São Miguel About km 4.8,Road to São Miguel About 4.8 kilometers,Dense forest On rotten log In fruit,Alt. 710 m.,N/A,870841,Typed,no type status
Entry 206,"0246_C2079603F.jpg, 0246_C2079603F_collage.png",Ynes Mexia,Y. Mexia,N/A,5441,"Dec. 23, 1930",1930-12-23,N/A,Isopterygium laxum (Hpe.) Broth.,Isopterygium tenerum,N. L. Dartram,N/A,N/A,Brazil,Minas Gerais,N/A,N/A,Vicosa Agricultural College lands Base of Horticultural Hill,Vicosa Agricultural College lands Base of Horticultural Hill,On rotting logs in woods Abundant,Alt. 670 m.,N/A,870823,Typed,no type status
Entry 207,"0247_C2079604F.jpg, 0247_C2079604F_collage.png",H S Irwin R M Harley G L Smith,H. S. Irwin,R. M. Harley | G. L. Smith,31332,2 March 1971,1971-03-02,N/A,Isopterygium tenerum (Sw.) Mitt.,Isopterygium tenerum,R. R. Ireland,1988,Coccoloba sp.,Brazil,Bahia,N/A,N/A,Valley of the Rio das Ondas ca. 10km W. of Barreiras,Valley of the Rio das Ondas approximately 10 kilometers west of Barreiras,On the bark and exposed roots of Coccoloba sp. and on adjacent soil at river bank Cut-over gallery forest and adjacent cerrado,ca. 500m,N/A,1059328,Typed,no type status
Entry 208,"0248_C2079606F.jpg, 0248_C2079606F_collage.png",Ynes Mexia,Y. Mexia,N/A,4884,"July 21, 1929",1929-07-21,N/A,Isopterygium tenerum (Sw.) Mitt.,Isopterygium tenerum,E. Bartram,N/A,N/A,Brazil,Minas Gerais,N/A,N/A,Vicosa Agricultural College lands. Corrego Ribeiro,Vicosa Agricultural College lands. Corrego Ribeiro,Shady streambank on rotten log. Abundant,Alt. 675 m,N/A,870845,Typed,no type status
Entry 209,"0249_C2079607F.jpg, 0249_C2079607F_collage.png",Ynes Mexia,Y. Mexia,N/A,4698,"May 14, 1930",1930-05-14,N/A,Isopterygium curvicollum (C. M.) Mitt. ex p.,Isopterygium tenerum,E. Bartram,N/A,N/A,Brazil,Minas Gerais,N/A,Viçosa,Fazenda de Cresiuma,Fazenda de Cresiuma,Wood on slope On rotten log,Alt. 700 m.,N/A,870839,Typed,no type status
Entry 210,"0250_C2079608F.jpg, 0250_C2079608F_collage.png",Ynes Mexia,Y. Mexia,N/A,4884,"July 21, 1930",1930-07-21,N/A,Isopterygium curvicollum (C. M.) Mitt.,Isopterygium tenerum,N/A,N/A,N/A,Brazil,Minas Gerais,N/A,N/A,Viçosa Agricultural College lands Corriga Riberro,Viçosa Agricultural College lands Corriga Riberro,Shady streambank on rotten log,Alt. 675 m.,N/A,1039977,Typed,no type status
Entry 211,"0251_C2079609F.jpg, 0251_C2079609F_collage.png",Ynes Mexia,Y. Mexia,N/A,4545,"March 31, 1930",1930-03-31,N/A,Isopterygium curvifolium (C. M.) Mitt.,Isopterygium tenerum,E. B. Bartram | R. R. Ireland,1988,N/A,Brazil,Minas Gerais,N/A,Viçosa,"Road to São Miguel Near stream ""Turca"" Cut over woods on slope On rotting tree trunk",Road to São Miguel Near stream Turca,Cut over woods on slope On rotting tree trunk,Alt. 710 m.,N/A,1039978,Typed,no type status
Entry 212,"0252_C2079611F.jpg, 0252_C2079611F_collage.png",leg. V. Schiffner,V. Schiffner,N/A,2898,m. Jul. fr.,00-07-00,N/A,Isopterygium aurantiacum (C. M.) Broth.,Isopterygium tenerum,V. F. Brotherus | R. R. Ireland,1988,N/A,Brazil,Sao Paulo,N/A,N/A,prope urbem Cerqueira-Cesar in palude c. 600 m s. m.,near the city Cerqueira Cesar in marsh,in palude,c. 600 m s. m.,N/A,1012176,Mix of Handwritten and Typed,no type status
Entry 213,"0253_C2079856F.jpg, 0253_C2079856F_collage.png",Ynes Mexia,Y. Mexia,N/A,4841,"July 6, 1930",1930-07-06,N/A,Isopterygium brachyneuron (C. Muell.) Mitt. ex. Paris,Isopterygium tenerum,E. Bartram,N/A,N/A,Brazil,Minas Gerais,N/A,N/A,Vicosa Agricultural College lands,Vicosa Agricultural College lands,Cut over woods near base On rotting log Abundant,Alt. 670 m,N/A,870887,Typed,no type status
Entry 214,"0254_C2079858F.jpg, 0254_C2079858F_collage.png",R. S. Williams,R. S. Williams,N/A,2095,"Nov. 29, 1901",1901-11-29,N/A,Isopterygium tenerum (Sw.) Mitt.,Isopterygium tenerum,R. R. Ireland,1988,N/A,Bolivia,N/A,N/A,N/A,"San Buena Ventura, 190 meters, on rock",San Buena Ventura,on rock,190 meters,N/A,1039993,Mix of Handwritten and Typed,no type status
Entry 215,"0255_C2079859F.jpg, 0255_C2079859F_collage.png",Collected by R. S. Williams 1901-1902,R. S. Williams,N/A,2038,1901-1902,1901-00-00,1902-00-00,Isopterygium tenerum (Sw.) Mitt. Tumucasa,Isopterygium tenerum,R. S. Williams,23 Jan 1902,N/A,Bolivia,N/A,N/A,N/A,Tumucasa,Tumucasa,N/A,N/A,N/A,1017412,Mix of Handwritten and Typed,no type status
Entry 216,"0256_C2010970F.jpg, 0256_C2010970F_collage.png",leg. Hagen,I. Hagen,N/A,s.n.,27/7 1907,1907-07-27,N/A,Pycnolium rugosum (R) var. elimbat (Welw.),Pycnolium rugosum,unsure and check,DEC 1951,N/A,Norway,Nordland,Vefsn,N/A,Gpbl. Vælfjeld,Gpbl. Vælfjeld,N/A,altit. mtr. 700,N/A,C0201099F,Mix of Handwritten and Typed,no type status
Entry 217,"0257_C2010972F.jpg, 0257_C2010972F_collage.png",N/A,N/A,N/A,s.n.,s.d.,0000-00-00,N/A,Pogonatum urnigerum Brid,Pogonatum urnigerum,N/A,N/A,N/A,England,N/A,N/A,N/A,England,[precise locality unknown],N/A,N/A,N/A,C2010972F,Mix of Handwritten and Typed,no type status
Entry 218,"0258_C2000534F.jpg, 0258_C2000534F_collage.png",N/A,N/A,N/A,s.n.,1878,1878-00-00,N/A,Pogonatum urnigerum,Pogonatum urnigerum,N/A,N/A,N/A,France,N/A,N/A,N/A,Gorge de Jeret,Gorge de Jeret,N/A,1500,N/A,N/A,Mix of Handwritten and Typed,no type status
Entry 219,"0259_C2000536F.jpg, 0259_C2000536F_collage.png",N/A,N/A,N/A,s.n.,N/A,0000-00-00,N/A,Pogonatum urnigerum,Pogonatum urnigerum,N/A,N/A,N/A,England,Sussex,N/A,N/A,Sussex England,[precise locality unknown],N/A,N/A,N/A,1096014,Typed,no type status
Entry 220,"0260_C2000538F.jpg, 0260_C2000538F_collage.png",W. W. Calkins,W. W. Calkins,N/A,s.n.,N/A,0000-00-00,N/A,Pogonatum urnigerum,Pogonatum urnigerum,N/A,N/A,N/A,United States,Illinois,Cook,Chicago,N/A,[precise locality unknown],N/A,N/A,N/A,1182972,Mix of Handwritten and Typed,no type status
Entry 221,"0261_C2000542F.jpg, 0261_C2000542F_collage.png",leg. Jeanpert,E. Jeanpert,N/A,s.n.,23/10/94,1894-10-23,N/A,Pogonatum urnigerum,Pogonatum urnigerum,N/A,N/A,N/A,France,N/A,N/A,N/A,Villers le Sec,Villers le Sec,"rock de lierre, moissons",N/A,N/A,1058477,Handwritten,no type status
Entry 222,"0262_C2000932F.jpg, 0262_C2000932F_collage.png",C. Müller Frib.,C. Müller,N/A,476,Sept. 1905,1905-09-00,N/A,Pogonatum urnigerum (L.) Pal. Beauv. e. fr.,Pogonatum urnigerum,E. Bauer,Nov. 10. 1909,N/A,Germany,Baden-Württemberg,N/A,N/A,auf Erde in Felstriemen zwischen Rinken und Seebrick am Feldberg,[precise locality unknown],auf Erde in Felstriemen,etwa 1250 m s. m.,N/A,1194391,Mix of Handwritten and Typed,no type status
Entry 223,"0263_C2000934F.jpg, 0263_C2000934F_collage.png",leg. Zd. Pilous,Z. Pilous,N/A,s.n.,V. 1946,1946-05-00,N/A,Pogonatum urnigerum P. B.,Pogonatum urnigerum,N/A,N/A,N/A,Czech Republic,Bohemia,Krkonoše,N/A,Montes Krkonoše In declivis graminosis silvaticis prope pagum Hořejí Vrchlabí ca 580 m,Montes Krkonoše near the village Hořejí Vrchlabí,In declivis graminosis silvaticis,ca 580 m,N/A,1270015,Typed,no type status
Entry 224,"0264_C2000936F.jpg, 0264_C2000936F_collage.png",Collected in 1843 by James Thompson,J. Thompson,N/A,s.n.,1843,1843-00-00,N/A,Pogonatum urnigerum,Pogonatum urnigerum,N/A,N/A,N/A,Scotland,N/A,N/A,N/A,N/A,[precise locality unknown],N/A,N/A,N/A,1230979,Mix of Handwritten and Typed,no type status
Entry 225,"0265_C2000938F.jpg, 0265_C2000938F_collage.png",leg Philippe,Philippe,N/A,s.n.,N/A,0000-00-00,N/A,Hypnum vernigerum,Hypnum vernigerum,N/A,N/A,N/A,Costa Rica,N/A,N/A,N/A,Costa de Ricas,Costa de Ricas,N/A,N/A,N/A,1058446,Handwritten,no type status
Entry 226,"0266_C2000940F.jpg, 0266_C2000940F_collage.png",N/A,N/A,N/A,s.n.,N/A,0000-00-00,N/A,Pogonatum urnigerum Bruch,Pogonatum urnigerum,N/A,N/A,N/A,Germany,N/A,N/A,N/A,Germany,[precise locality unknown],N/A,N/A,N/A,1159295,Handwritten,no type status
Entry 227,"0267_C2000943F.jpg, 0267_C2000943F_collage.png",C Jensen,C. Jensen,N/A,s.n.,25/10 1901,1901-10-25,N/A,Pogonatum urnigerum (Hedw.) P. B.,Pogonatum urnigerum,C. Jensen,N/A,N/A,Denmark,Sjælland,N/A,N/A,Magistratskoven by Hvalsø in a gravel-pit,Magistratskoven by Hvalsø in a gravel pit,in a gravel pit,N/A,N/A,C200004345,Typed,no type status
Entry 228,"0268_C2000945F.jpg, 0268_C2000945F_collage.png",N/A,N/A,N/A,s.n.,15 Octobre 1913,1913-10-15,N/A,Syntrichia norvegica,Syntrichia norvegica,N/A,N/A,N/A,France,N/A,N/A,N/A,Environs de la Ville de Vittel,Vittel,N/A,N/A,N/A,1058475,Mix of Handwritten and Typed,no type status
