Entry,Image,verbatimCollectors,collectedBy,secondaryCollectors,recordNumber,verbatimEventDate,minimumEventDate,maximumEventDate,verbatimIdentification,latestScientificName,identifiedBy,verbatimDateIdentified,associatedTaxa,country,firstPoliticalUnit,secondPoliticalUnit,municipality,verbatimLocality,locality,habitat,verbatimElevation,verbatimCoordinates,otherCatalogNumbers,originalMethod,typeStatus,"I'm unable to transcribe the collector's name from the image. However, I can provide the rest of the transcription based on the visible information","I'm unable to transcribe the entire label as it is in an image format. However, I can provide a transcription based on the visible text"
Entry 178,0218_C2079352F_collage.png,Ynes Mexia,Y. Mexia,N/A,6217-a,"Dec. 4, 1931",1931-12-04,N/A,Vesicularia amphibola (Spr.) Broth.,Vesicularia amphibola,N/A,N/A,N/A,Peru,Loreto,N/A,N/A,Above Pongo de Manseriche,Above Pongo de Manseriche,Streamlet on right bank of Rio Santiago On rocks wet by spray,Alt. 250 m,N/A,870879,Typed,no type status,,
Entry 179,0219_C2079353F_collage.png,Ynes Mexia,Y. Mexia,N/A,6259-a,"Dec. 12, 1931",1931-12-12,N/A,Vesicularia amphibola (Spr.) Broth.,Vesicularia amphibola,Extram,N/A,N/A,Peru,Loreto,N/A,N/A,Above Pongo de Manseriche,Above Pongo de Manseriche,Creek Carapias bog in forest,Alt. 215 m.,N/A,C2079354F,Typed,no type status,,
Entry 180,0220_C2079354F_collage.png,Ynes Mexia,Y. Mexia,N/A,6354-a,"Jan. 3, 1932",1932-01-03,N/A,Vesicularia amphibola (Spr.) Broth.,Vesicularia amphibola,E. Bartram,N/A,N/A,Peru,Loreto,N/A,N/A,Above Pongo de Manseriche,Above Pongo de Manseriche,Creek Inche. On earth collected on inclined tree trunk.,Alt. 215 m.,N/A,873369,Typed,no type status,,
Entry 181,0221_C2079355F_collage.png,Ynes Mexia,Y. Mexia,N/A,6375a,"Jan. 3, 1932",1932-01-03,N/A,Vesicularia amphibia (Spr.) Broth.,Vesicularia amphibia,N/A,N/A,Taxithelium planum,Peru,Loreto,N/A,N/A,Above Pongo de Manseriche Creek Inche,Above Pongo de Manseriche Creek Inche,On rotten log Sterile,Alt. 215 m.,N/A,C02073355F,Typed,no type status,,
Entry 182,0222_C2079356F_collage.png,Ynes Mexia,Y. Mexia,N/A,6375-m,"Jan. 3, 1935",1935-01-03,N/A,Vexillaria amphiola (Spr.) Dreter,Vexillaria amphiola,J. A. Steyermark,N/A,Taxithelium planum,Peru,Loreto,N/A,N/A,Above Pongo de Manseriche,Above Pongo de Manseriche,Creek Inchs. On rotten log. Sterile.,Alt. 215 m.,N/A,870880 | C02073956F,Typed,no type status,,
Entry 183,0223_C2079357F_collage.png,Ynes Mexia,Y. Mexia,N/A,6377,"Jan. 3, 1932",1932-01-03,N/A,Vesicularia amphibola (Spr.) Broth.,Vesicularia amphibola,E. Bartram,N/A,N/A,Peru,Loreto,N/A,N/A,Above Pongo de Manseriche,Above Pongo de Manseriche,Creek Inche. On rotten log.,Alt. 215 m.,N/A,870873,Typed,no type status,,
Entry 184,0224_C2079358F_collage.png,Ynes Mexia,Y. Mexia,N/A,8070,"May 14, 1936",1936-05-14,N/A,Vesicularia amphibia (Spr.) Broth. in mixtype,Vesicularia amphibia,N/A,N/A,N/A,Peru,Cuzco,La Convencion,N/A,upper valley of the Sambray; affluent of the Vilcanota; on rotten logs in virgin forest,upper valley of the Sambray; affluent of the Vilcanota,on rotten logs in virgin forest,Alt. 1800 m,N/A,108318,Typed,no type status,,
Entry 185,0225_C2079359F_collage.png,Ynes Mexia,Y. Mexia,N/A,8070,"May 14, 1936",1936-05-14,N/A,Vesicularia amphibia (Spr.) Broth. in mixture,Vesicularia amphibia,N/A,det. Bartram,N/A,Peru,Cuzco,La Convencion,N/A,upper valley of the Sambray; affluent of the Vilcanota; on rotten logs in virgin forest,upper valley of the Sambray; affluent of the Vilcanota,on rotten logs in virgin forest,Alt. 1800 m.,N/A,C2079359F,Typed,no type status,,
Entry 186,0226_C2079360F_collage.png,Reitz,R. Reitz,N/A,5468,2.2.1950,1950-02-02,N/A,Vesicularia vesicularis (Schwagr.) Broth.,Vesicularia vesicularis,J. L. Lima,1949,N/A,Brazil,Santa Catarina,N/A,N/A,"Itambajé, Braço","Itambajé, Braço","Epífito, da mata virgem",Alti. 50 m,N/A,2077906,Typed,No type status,,
Entry 187,0227_C2079361F_collage.png,F. J. Hermann,F. J. Hermann,N/A,25019,"December 19, 1972",1972-12-19,N/A,Vesicularia vesicularis (Schwaegr.) Broth.,Vesicularia vesicularis,H. Robinson,N/A,N/A,Colombia,Santander,N/A,N/A,"On base of tree trunk, Paraguitas, 1/4 mile NW","Paraguitas, 1/4 mile Northwest",On base of tree trunk,alt. ca. 4000 ft.,N/A,C2073086F,Typed,no type status,,
Entry 188,0228_C2079362F_collage.png,RICHARD EVANS SCHULTES,R. E. Schultes,N/A,11107,"Dec., 1950",1950-12-00,N/A,Vesicularia vesicularis (Schwgr.) Broth.,Vesicularia vesicularis,D. Griffin,N/A,N/A,Colombia,Meta,N/A,Villavicencio,alrededores de Villavicencio,[precise locality unknown],N/A,Alt. 500 m.,N/A,C2079362F,Typed,no type status,,
Entry 189,0229_C2079715F_collage.png,,,,,,,,,,,,,,,,,,,,,,,,,,
Entry 190,0230_C2079716F_collage.png,Paul C. Hutchison | J. Kenneth Wright,P. C. Hutchison,J. K. Wright,1806,1 April 1964,1964-04-01,N/A,Entodon jamesonii (Tayl.) Mitt.,Entodon jamesonii,H. Robinson,1966,N/A,Peru,Amazonas,N/A,N/A,"Cerros Calla Calla, east side, 5 km. above Leimebamba on the road to Balsas, at San Miguel (no buildings at this locality)","Cerros Calla Calla, east side, 5 kilometers above Leimebamba on the road to Balsas, at San Miguel",N/A,Altitude 2400 m.,N/A,1012131,Typed,no type status,,
Entry 191,0231_C2079717F_collage.png,,,,,,,,,,,,,,,,,,,,,,,,,,
Entry 192,0232_C2079718F_collage.png,Ynes Mexia,Y. Mexia,N/A,5687,"April 21, 1931",1931-04-21,N/A,Entodon Lindbergii Ren.,Entodon lindbergii,E. Bartram,N/A,N/A,Brazil,Minas Gerais,N/A,Corinto,Fazenda do Diamante. Campo Tiririca. Base of living tree in shade.,Fazenda do Diamante. Campo Tiririca. Base of living tree in shade.,Base of living tree in shade.,Alt. 500 m.,N/A,870818,Typed,no type status,,
Entry 193,0233_C2079719F_collage.png,R. Spruce,R. Spruce,N/A,1023,N/A,0000-00-00,N/A,Entodon longisetus Hook.,Entodon longisetus,W. Mitten,N/A,N/A,Ecuador,N/A,N/A,Baños,Andes Quitenses Baños,Baños,N/A,N/A,N/A,1078203,Mix of Handwritten and Typed,N/A,,
Entry 194,0234_C2079720F_collage.png,Marko Lewis,M. Lewis,N/A,79-590,8 February 1979,1979-02-08,N/A,Entodon cf. nano-climacium C.M. (= E. micans Herz.),Entodon nano-climacium,W. Buck,1980,N/A,Bolivia,Tarija,Méndez,Cercado,"Canyon 5 mi. SW of Tablada, SW of Tarija","Canyon 5 miles southwest of Tablada, southwest of Tarija",Bank of creek,2160 m.,21° 36' S. 64° 48' W.,C2079720F,Typed,no type status,,
Entry 195,0235_C2079721F_collage.png,Marko Lewis,M. Lewis,N/A,79-1220,22 March 1979,1979-03-22,N/A,Entodon nano-climacium C. M. (= E. micans Herz.),Entodon nano-climacium,W. Buck,1980,N/A,Bolivia,La Paz,Larecaja,N/A,Near large red outcrop 2 mi. from Sorata down Río Consata,Near large red outcrop 2 miles from Sorata down Río Consata,Very shady ground along creek in humid shrubs,2600 m.,"15° 41' S., 68° 43' W.",C0209721F,Typed,no type status,,
Entry 196,0236_C2079722F_collage.png,Collected by Harry Ward Foote,H. W. Foote,N/A,s.n.,Sept. 3,1911-09-03,N/A,Entosthodon platyphyllus C. M.,Entosthodon platyphyllus,unsure and check,N/A,N/A,Peru,N/A,N/A,San Miguel,On rocks above San Miguel,On rocks above San Miguel,N/A,10000 ft,N/A,N/A,Mix of Handwritten and Typed,no type status,,
Entry 197,0237_C2079723F_collage.png,Marko Lewis,M. Lewis,N/A,79-1346,1 April 1979,1979-04-01,N/A,cf. Entodon polycarpus,Entodon polycarpus,W. Buck,1980,N/A,Bolivia,La Paz,Larecaja,N/A,Between Abra Huallata and waterfall at Millipaya,Between Abra Huallata and waterfall at Millipaya,"Waterfall ravine, highest extension of shrubs",3780 m,"15° 51' S, 68° 39' W",C0297323F,Typed,no type status,,
Entry 198,0238_C2079595F_collage.png,H. Roivainen,H. Roivainen,N/A,2095,25.1.1970,1970-01-25,N/A,Isopterygium pulchellum (Hedw.) Jaeg.,Isopterygium pulchellum,R. Ochyra,1996,Nothofagus pumilio,Argentina,Tierra del Fuego,Ushuaia,N/A,Arroyo Grande en fisuras de roca y en raizes humoso-arcillosos de Nothofagus pumilio en orilla de la cascada,Arroyo Grande,en fisuras de roca y en raizes humoso-arcillosos de Nothofagus pumilio en orilla de la cascada,150 m s.m.,54°47'S 68°17'W,N/A,Typed,no type status,,
Entry 199,0239_C2079596F_collage.png,H. Roivainen,H. Roivainen,N/A,1352,24.12.1969,1969-12-24,N/A,Isopterygium pulchellum (Brid.) Jaeg.,Isopterygium pulchellum,R. Ochyra,1996,N/A,Argentina,Tierra del Fuego,N/A,Ushuaia,Valle del río Pipo,Valle del rio Pipo,suelo humoso húmedo en el pendiente del río bastante copiosamente,300 m s.m.,"51°46'S, 68°20'W",C2079596F,Typed,no type status,,
Entry 200,0240_C2079597F_collage.png,E. P. Killip & A. C. Smith,E. P. Killip,A. C. Smith,14871,"November 29, 1926",1926-11-29,N/A,Isopterygium stigmocarpum (C. M.) Par.,Isopterygium tenerum,R. R. Ireland,1988,N/A,Colombia,Santander,N/A,N/A,between Puerto Wilches and Puerto Santos,between Puerto Wilches and Puerto Santos,N/A,alt. 110-115 m.,N/A,N/A,Typed,no type status,,
Entry 201,0241_C2079598F_collage.png,RICHARD EVANS SCHULTES,R. E. Schultes,N/A,1110,"Dec., 1950",1950-12-00,N/A,Isopterygium tenerum (Sw.) Mitt.,Isopterygium tenerum,D. Griffin III,N/A,N/A,Colombia,Meta,N/A,Villavicencio,alrededores de Villavicencio,[precise locality unknown],N/A,Alt. 500 m.,N/A,N/A,Typed,no type status,,
Entry 202,0242_C2079599F_collage.png,D. C. Geijskes,D. C. Geijskes,N/A,s.n.,29 - 9 - 1952,1952-09-29,N/A,Isopterygium tenerum (Sw.) Mitt.,Isopterygium tenerum,H. R. Zielman,N/A,N/A,Suriname,N/A,N/A,N/A,Jarrowka River; Amima falls,Jarrowka River; Amima falls,"Rainforest On roots and rocks on bank of river, shade",N/A,N/A,N/A,Typed,no type status,,
Entry 203,0243_C2079600F_collage.png,Ynes Mexia,Y. Mexia,N/A,4341,July 8 1930,1930-07-08,N/A,Isopterygium brachyneuron (C M) Mitt. ex. Bartram,Isopterygium tenerum,R. R. Ireland,1988,N/A,Brazil,Minas Gerais,N/A,Vicosa,Agricultural College land Horticultural Hill,Agricultural College land Horticultural Hill,Out over woods near base on rotting log Abundant,Alt. 670 m,N/A,N/A,Typed,N/A,,
Entry 204,0244_C2079601F_collage.png,Ynes Mexia,Y. Mexia,N/A,4888,"July 21, 1930",1930-07-21,N/A,Isopterygium laxum (Hpe.) Broth.,Isopterygium tenerum,E. Bartram,N/A,N/A,Brazil,Minas Gerais,N/A,N/A,Viçosa Agricultural College lands,Viçosa Agricultural College lands,Shady streambank On rotten wood,Alt. 675 m.,N/A,873365,Typed,no type status,,
Entry 205,0245_C2079602F_collage.png,Ynes Mexia,Y. Mexia,N/A,5386,"Dec. 9, 1930",1930-12-09,N/A,Isopterygium brachypus var. mucronatum (C. Muell.) Mitt.,Isopterygium tenerum,N. L. Bertram | R. R. Ireland,1988,N/A,Brazil,Minas Gerais,N/A,Viçosa,Road to São Miguel. About km 4.8,Road to São Miguel. About 4.8 kilometers,Dense forest. On rotten log. In fruit,Alt. 710 m.,N/A,870841,Typed,no type status,,
Entry 206,0246_C2079603F_collage.png,Ynes Mexia,Y. Mexia,N/A,5441,"Dec. 23, 1930",1930-12-23,N/A,Isopterygium laxum (Hpe.) Broth.,Isopterygium tenerum,N/A,N/A,N/A,Brazil,Minas Gerais,N/A,N/A,Base of Horticultural Hill,Base of Horticultural Hill,On rotting logs in woods Abundant,Alt. 670 m.,N/A,870823,Typed,no type status,,
Entry 207,0247_C2079604F_collage.png,"H. S. Irwin, R. M. Harley, G. L. Smith",H. S. Irwin,R. M. Harley | G. L. Smith,31332,2 March 1971,1971-03-02,N/A,Isopterygium tenerum (Sw.) Mitt.,Isopterygium tenerum,R. R. Ireland,1988,Coccoloba sp.,Brazil,Bahia,N/A,N/A,Valley of the Rio das Ondas ca. 10km W. of Barreiras,Valley of the Rio das Ondas ca. 10 kilometers West of Barreiras,On the bark and exposed roots of Coccoloba sp. and on adjacent soil at river bank Cut-over gallery forest and adjacent cerrado,ca. 500m,N/A,N/A,Typed,no type status,,
Entry 208,0248_C2079606F_collage.png,Ynes Mexia,Y. Mexia,N/A,4884,"July 21, 1929",1929-07-21,N/A,Isopterygium auriculatum (C. M.) Mitt.,Isopterygium tenerum,J. Bartram,N/A,N/A,Brazil,Minas Gerais,N/A,N/A,Viçosa Agricultural College lands. Córrego Ribeiro,Viçosa Agricultural College lands. Córrego Ribeiro,"Shady streambank, on rotten log. Abundant",Alt. 675 m.,N/A,870845,Typed,no type status,,
Entry 209,0249_C2079607F_collage.png,Ynes Mexia,Y. Mexia,N/A,4698,"May 14, 1930",1930-05-14,N/A,Isopterygium curvicollum (C. M.) Mitt. ex p.,Isopterygium tenerum,N/A,N/A,N/A,Brazil,Minas Gerais,N/A,Vicosa,Fazenda de Cresiuma,Fazenda de Cresiuma,Wood on slope. On rotten log.,Alt. 700 m.,N/A,870839,Typed,no type status,,
Entry 210,0250_C2079608F_collage.png,Ynes Mexia,Y. Mexia,N/A,4884,"July 21, 1930",1930-07-21,N/A,Isopterygium curvicollum (C. M.) Mitt.,Isopterygium tenerum,N/A,N/A,N/A,Brazil,Minas Gerais,N/A,N/A,"Vicosa Agricultural College lands. Corriga Riberro. Shady streambank, on rotten log.",Vicosa Agricultural College lands. Corriga Riberro,"Shady streambank, on rotten log. Abundant.",Alt. 675 m.,N/A,N/A,Typed,no type status,,
Entry 211,0251_C2079609F_collage.png,Ynes Mexia,Y. Mexia,N/A,4545,"March 31, 1930",1930-03-31,N/A,Isopterygium curvifolium (Lindb.) Mitt.,Isopterygium tenerum,R. R. Ireland | Bartram,1988,N/A,Brazil,Minas Gerais,N/A,N/A,"Road to São Miguel Near stream ""Turca""",Road to São Miguel Near stream Turca,Cut over woods on slope On rotting tree trunk,Alt. 710 m.,N/A,N/A,Typed,no type status,,
Entry 212,0252_C2079611F_collage.png,leg. V. Schiffner,V. Schiffner,N/A,2898,m. Jul. Fr. Cem. XXV. fasc. I. Dec. 65-67,1965-07-00,1967-12-00,Isopterygium aurantiacum (C. M.) Broth.,Isopterygium tenerum,V. F. Brotherus | R. R. Ireland,1988,N/A,Brazil,Sao Paulo,N/A,Cerqueira Cesar,prope urbem Cerqueira-Cesar in palude c. 500 m s. m.,near the city Cerqueira Cesar in marsh about 500 meters,in marsh,c. 500 m s. m.,N/A,1012176,Mix of Handwritten and Typed,no type status,,
Entry 213,0253_C2079856F_collage.png,Ynes Mexia,Y. Mexia,N/A,4641,"July 6, 1930",1930-07-06,N/A,Isopterygium brachynueron (C. Muell.) Mitt. ex Broth.,Isopterygium tenerum,E. Bartram,N/A,N/A,Brazil,Minas Gerais,N/A,N/A,Vicosa Agricultural College lands,Vicosa Agricultural College lands,Horticultural Hill. Cut over woods near base. On rotting log. Abundant.,Alt. 670 m.,N/A,870887,Typed,no type status,,
Entry 214,0254_C2079858F_collage.png,R. S. Williams,R. S. Williams,N/A,2095,"Nov. 29, 1901",1901-11-29,N/A,Isopterygium tenerum (Sw.) Mitt.,Isopterygium tenerum,R. R. Ireland,1988,N/A,Bolivia,N/A,N/A,N/A,"San Buena Ventura, 190 meters, on bank","San Buena Ventura, on bank",N/A,190 meters,N/A,N/A,Mix of Handwritten and Typed,no type status,,
Entry 215,0255_C2079859F_collage.png,Collected by R. S. Williams 1901-1902,R. S. Williams,N/A,2058,1901-1902,1901-00-00,1902-00-00,Isopterygium tenerum (Sw.) Mitt.,Isopterygium tenerum,R. S. Williams,23 Jan. 1902,N/A,Bolivia,N/A,N/A,N/A,Tumupasa,Tumupasa,N/A,N/A,N/A,1017412,Mix of Handwritten and Typed,no type status,,
Entry 216,0256_C2010970F_collage.png,leg. C. D. Krog,C. D. Krog,N/A,s.n.,27/7 1907,1907-07-27,N/A,Bryopodium unigerum (R.) var. et humile (Webl.),Bryopodium unigerum,N/A,N/A,N/A,Norway,Trøndelag,N/A,Oppdal,N/A,Vaarstigen,N/A,aldit. mtr. 900,N/A,C0207939F,Mix of Handwritten and Typed,no type status,,
Entry 217,0257_C2010972F_collage.png,N/A,N/A,N/A,s.n.,s.d.,0000-00-00,N/A,Pogonatum urnigerum Brid,Pogonatum urnigerum,N/A,N/A,N/A,England,N/A,N/A,N/A,England,[precise locality unknown],N/A,N/A,N/A,C2010972F,Mix of Handwritten and Typed,no type status,,
Entry 218,0258_C2000534F_collage.png,N/A,N/A,N/A,s.n.,1878,1878-00-00,N/A,Pogonatum urnigerum,Pogonatum urnigerum,N/A,APR1951,N/A,France,N/A,N/A,N/A,Pyrénées: Gorge de Jeret,Gorge de Jeret,N/A,1500,N/A,The Field Museum EP 0001878,Mix of Handwritten and Typed,no type status,,
Entry 219,0259_C2000536F_collage.png,N/A,N/A,N/A,s.n.,N/A,0000-00-00,N/A,Pogonatum urnigerum,Pogonatum urnigerum,N/A,N/A,N/A,England,Sussex,N/A,N/A,"Sussex, England",[precise locality unknown],N/A,N/A,N/A,1096014,Mix of Handwritten and Typed,no type status,,
Entry 220,0260_C2000538F_collage.png,W. M. Canby,W. M. Canby,N/A,s.n.,N/A,0000-00-00,N/A,Lycopodium unigerum,Lycopodium unigerum,N/A,N/A,N/A,United States,Delaware,N/A,N/A,N/A,[precise locality unknown],N/A,N/A,N/A,1182972,Mix of Handwritten and Typed,no type status,,
Entry 221,0261_C2000542F_collage.png,leg. Jeanpert,E. Jeanpert,N/A,s.n.,19/9/94,1894-09-19,N/A,Pogonatum urnigerum,Pogonatum urnigerum,N/A,N/A,N/A,France,Vosges,N/A,N/A,"rock de Servance, versant est",rock de Servance,N/A,N/A,N/A,1058477,Handwritten,no type status,,
Entry 222,0262_C2000932F_collage.png,C. Müller Frib.,C. Müller,N/A,476,Sept. 1905,1905-09-00,N/A,Pogonatum urnigerum (L.) Pal. Beauv. c. fr.,Pogonatum urnigerum,N/A,N/A,N/A,Germany,Baden-Württemberg,N/A,N/A,Baden: auf Erde in Felsritzen zwischen Rinken und Seebrick am Feldberg etwa 1250 m s. m.,Rinken and Seebrick at Feldberg,auf Erde in Felsritzen,etwa 1250 m s. m.,N/A,1194391,Typed,no type status,,
Entry 223,0263_C2000934F_collage.png,leg. Zd. Pilous,Z. Pilous,N/A,s.n.,V. 1946,1946-05-00,N/A,24. Pogonatum urnigerum P. B.,Pogonatum urnigerum,unsure and check,N/A,N/A,Czech Republic,N/A,N/A,N/A,Bohemia Montes Krkonoše In declivis graminosis silvaticis prope pagum Horní Vrchlabí ca 580 m,Horní Vrchlabí,In declivis graminosis silvaticis,ca 580 m,N/A,1270015,Typed,no type status,,
Entry 224,0264_C2000936F_collage.png,Collected in 1843 by James Thompson,J. Thompson,N/A,s.n.,1843,1843-00-00,N/A,Pogonatum urnigerum,Pogonatum urnigerum,J. F. Smith,Sept 1942,N/A,Scotland,N/A,N/A,N/A,N/A,[precise locality unknown],N/A,N/A,N/A,1230970,Typed,no type status,,
Entry 225,0265_C2000938F_collage.png,leg Philippe,Philippe,N/A,s.n.,N/A,0000-00-00,N/A,Hypnum vernigerum,Hypnum vernigerum,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Serra do Lôvôsi,Serra do Lôvôsi,N/A,N/A,N/A,1058446,Mix of Handwritten and Typed,no type status,,
Entry 226,0266_C2000940F_collage.png,N/A,N/A,N/A,s.n.,1945,1945-00-00,N/A,"Pogonatum urnigerum, Beauv",Pogonatum urnigerum,N/A,N/A,N/A,Germany,N/A,N/A,N/A,N/A,[precise locality unknown],N/A,N/A,N/A,115925,Mix of Handwritten and Typed,no type status,,
Entry 227,0267_C2000943F_collage.png,C. Jensen,C. Jensen,N/A,s.n.,25/10 1901,1901-10-25,N/A,Pogonatum urnigerum (Hedw.) P. B.,Pogonatum urnigerum,C. Jensen,N/A,N/A,Denmark,Sjælland,N/A,N/A,Magistratskoven by Hvalsø in a gravel-pit,Magistratskoven by Hvalsø,in a gravel-pit,N/A,N/A,C200004345F,Typed,no type status,,
Entry 228,0268_C2000945F_collage.png,N/A,N/A,N/A,s.n.,s.d.,0000-00-00,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,[precise locality unknown],N/A,N/A,N/A,1058475,Typed,no type status,,
Entry 229,0269_C2000947F_collage.png,Herbier Ed. Jeanpert,E. Jeanpert,N/A,s.n.,s.d.,0000-00-00,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,[precise locality unknown],N/A,N/A,N/A,1058481,Typed,no type status,,
Entry 230,0270_C2000949F_collage.png,ex herb. George E. Hunt,G. E. Hunt,N/A,s.n.,N/A,1946-05-00,N/A,Sphagnum subsecundum,Sphagnum subsecundum,N/A,N/A,N/A,Scotland,N/A,N/A,N/A,Balde,Balde,N/A,N/A,N/A,1182976,Mix of Handwritten and Typed,no type status,,
Entry 231,0271_C2010614F_collage.png,M. Conrad,M. Conrad,N/A,76.1.8693,Le 18.07.1976,1976-07-18,N/A,"Pogonatum urnigerum G. Beauv., Schimp.",Pogonatum urnigerum,M. Conrad,N/A,Polytrichum urnigerum,Switzerland,Valais,Val d'Herens,N/A,"sur Falaise Smoselle, à La Forclaz","sur Falaise Smoselle, à La Forclaz",N/A,alt. ca. 1750 m,N/A,N/A,Mix of Handwritten and Typed,no type status,,
Entry 232,0272_C2010616F_collage.png,M. Onraedt,M. Onraedt,N/A,70.5.1880,Le 24 07 1976,1976-07-24,N/A,Pogonatum urnigerum B. Beauv. (Schimp.),Pogonatum urnigerum,N/A,Det. Jursy,N/A,Belgium,N/A,N/A,N/A,Cton du Palais Val d'Herens entre St. Martin et Mase,Cton du Palais Val d'Herens entre St. Martin et Mase,talus forestier,alt. 1600m,N/A,N/A,Mix of Handwritten and Typed,no type status,,
Entry 233,0273_C2010618F_collage.png,Barnes legit,N/A,N/A,s.n.,Feb. 1910,1910-02-00,N/A,Pogonatum urnigerum,Pogonatum urnigerum,N/A,N/A,N/A,United Kingdom,England,N/A,N/A,Westmoreland,[precise locality unknown],N/A,N/A,N/A,1058318,Mix of Handwritten and Typed,no type status,,
Entry 234,0274_C2010620F_collage.png,"Jack, Leiner u. Stizenberger",N/A,N/A,986A b.,25. August 1860,1860-08-25,N/A,Pogonatum urnigerum (L.) Pal. Beauv.,Pogonatum urnigerum,N/A,N/A,N/A,Germany,N/A,N/A,N/A,b. An Waldgraben bei Salem,[precise locality unknown],N/A,N/A,N/A,1054838,Mix of Handwritten and Typed,no type status,,
Entry 235,0275_C2010622F_collage.png,Dr. Hepp,N/A,N/A,986,17. October 1862,1862-10-17,N/A,Pogonatum urnigerum (L.) Pal. Beauv.,Pogonatum urnigerum,N/A,N/A,N/A,Germany,Baden-Württemberg,N/A,Degerfelden,An einem Waldrande auf dem rothen Sandsteinbruche oberhalb Degerfelden,[precise locality unknown],An einem Waldrande auf dem rothen Sandsteinbruche,N/A,N/A,1054981,Typed,no type status,,
Entry 236,0276_C2010624F_collage.png,"Jack, Lehner u. Stizenberger",N/A,N/A,9863 d,September 1862,1862-09-00,N/A,Pogonatum urnigerum (L.) Pal. Beauv.,Pogonatum urnigerum,N/A,N/A,N/A,Switzerland,Schaffhausen,N/A,N/A,d. In Hohlwegen bei Schaffhausen,In Hohlwegen,N/A,N/A,N/A,1055069,Typed,no type status,,
Entry 237,0277_C2010626F_collage.png,Coll. et determ. C. Jensen,C. Jensen,N/A,104,"November 21, 1904",1904-11-21,N/A,Pogonatum urnigerum (Hedw.) P. Beauv.,Pogonatum urnigerum,C. Jensen,N/A,N/A,Denmark,Zealand,N/A,N/A,sandy soil in Magistratskovene south of Hvalsø,Magistratskovene south of Hvalsø,sandy soil,N/A,N/A,N/A,Typed,no type status,,
Entry 238,0278_C2010974F_collage.png,P. Allorge,P. Allorge,N/A,49,"Paris, mai 1928",1928-05-00,N/A,Pogonatum urnigerum,Pogonatum urnigerum,P. Allorge,29. VIII. 1927,Blasia pusilla | Pellia epiphylla | A. acicularis | D. pellucidum | Rhytidiadelphus loreus,Spain,Navarra,N/A,N/A,Puerto de Ibañeta,Puerto de Ibañeta,talus argileux schisteux,Alt. ca. 1.050 m.,N/A,1200429,Typed,no type status,,
Entry 239,0279_C2010976F_collage.png,N/A,N/A,N/A,s.n.,JUN 1950,1950-06-00,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,[precise locality unknown],N/A,N/A,N/A,1350887,Typed,no type status,,
Entry 240,0280_C1042257F_collage.png,S. Churchill et al.,S. Churchill,H. Huaylla | R. Lozano | M. Serrano,22853,12 May 2004,2004-05-12,N/A,Neckera scabridens C. Müller,Neckera scabridens,S. Churchill,Jun 2004,N. chilensis | Prumnopitys exigua | Podocarpus | Myrcianthes,Bolivia,Chuquisaca,Belisario Boeto,N/A,Monte Grande ca. 32 km de Villa Serrano,Monte Grande approximately 32 kilometers from Villa Serrano,Bosque montano de yungas,2740 m,"18°43'43""S 64°29'07""W",<22845-22885>,Typed,no type status,,
Entry 241,0281_K000931304_collage.png,E. Córdula | Q. Melo | K. Pinheiro,E. Córdula,Q. Melo | K. Pinheiro,41243,23/VI/2007,2007-06-23,N/A,Vigna peduncularis (Kunth) Fawc. & Rendle,Ancistrotropis peduncularis,G. P. Lewis,12.2012,N/A,Brazil,Pernambuco,N/A,Mirandiba,Serra das Umburanas (afloramento rochoso),Serra das Umburanas,arbusto denso solo derivado de embasamento cristalino,457 m,8°12' S 38°32' W,K000931304,Mix of Handwritten and Typed,no type status,,
Entry 242,0282_EIG.6763_collage.png,Ilkka Kukkonen,I. Kukkonen,N/A,11003,13. Sept. 1981,1981-09-13,N/A,Arthropteris tenella (Forst. f.) J. Sm.,Arthropteris tenella,J. Sarvela,1982,N/A,Australia,Queensland,Atherton Tableland,N/A,"Lamin's Hill, E. of Malanda","Lamin's Hill, East of Malanda",Patch of rain forest. Fern climbing on tree stems.,N/A,N/A,EIG.6763,Typed,no type status,,
Entry 243,0283_K001046329_collage.png,Col. G. Pabst,G. Pabst,N/A,5121,7.9.60,1960-09-07,N/A,Avicennia tomentosa,Avicennia tomentosa,A. P. Duarte,23.9.60,N/A,Brazil,Guanabara,N/A,N/A,Mangue proximo ao Joquei Club da Ilha do Governador,Mangue proximo ao Joquei Club da Ilha do Governador,Arbusto e pequenas arvores de flores brancas,N/A,N/A,K001046329,Typed,no type status,,
Entry 244,0284_K000964719_collage.png,W. Hoehne,W. Hoehne,N/A,10228,13/9/33,1933-09-13,N/A,Cestrum corymbosum Schlecht.,Cestrum corymbosum,M. Kuhlmann,N/A,N/A,Brazil,São Paulo,N/A,N/A,Cantareiras: São Paulo,Cantareiras,N/A,Alt.: ...,N/A,K000964719,Mix of Handwritten and Typed,no type status,,
